,Borough,Neighbourhood,Latitude,Longitude
89,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999
90,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436
91,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.49850909999999
92,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.6288408,-79.52099940000001
93,Etobicoke,Islington Avenue,43.6678556,-79.53224240000002
94,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6509432,-79.55472440000001
95,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6435152,-79.57720079999999
96,North York,Humber Summit,43.7563033,-79.56596329999999
97,North York,"Emery, Humberlea",43.7247659,-79.53224240000002
98,York,Weston,43.706876,-79.51818840000001
99,Etobicoke,Westmount,43.696319,-79.53224240000002
100,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.55472440000001
101,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.739416399999996,-79.5884369
102,Etobicoke,Northwest,43.706748299999994,-79.5940544
